Id,start_area_name,start_place_name,end_area_name,end_place_name,start_time,end_time,start_lon,start_lat,end_lon,end_lat
2007303,Italy,Florence, Italy, NoInfo,1481, 1901,11.24626,43.77925, 12.83333, 42.83333
2141203,Italy,Florence, United States, Providence,1481, 1948,11.24626,43.77925, -71.41283, 41.82399
2140668,Italy,Florence, Germany, Hamburg,1481, 1481,11.24626,43.77925, 9.99302, 53.55073
2140701,Italy,Florence, Italy, Florence,1481, 1861,11.24626,43.77925, 11.24626, 43.77925
2141556,Italy,Florence, United States, University of Notre Dame,1481, 1902,11.24626,43.77925, -86.23917, 41.7031
2140623,Italy,Florence, France, Carpentras,1481, 1757,11.24626,43.77925, 5.04813, 44.05507
2141180,Italy,Florence, United Kingdom, London,1481, 1921,11.24626,43.77925, -0.12574, 51.50853
2141614,Italy,Florence, United States, South Hadley,1481, 1974,11.24626,43.77925, -72.57453, 42.25842
2141350,Italy,Florence, United Kingdom, Cambridge,1481, 1804,11.24626,43.77925, 0.11667, 52.2
2140616,Italy,Florence, Denmark, Copenhagen,1481, 1792,11.24626,43.77925, 12.56553, 55.67594
2141622,Italy,Florence, United States, Baltimore,1481, 1931,11.24626,43.77925, -76.61219, 39.29038
2141620,Italy,Florence, United States, Baltimore,1481, 1931,11.24626,43.77925, -76.61219, 39.29038
2141625,Italy,Florence, Italy, Naples,1481, 1736,11.24626,43.77925, 14.26811, 40.85216
2141627,Italy,Florence, Vatican City, NoInfo,1481, 1979,11.24626,43.77925, 12.45414, 41.90268
2141433,Italy,Florence, Vatican City, Vatican City,1481, 1923,11.24626,43.77925, 12.4533, 41.90225
2141428,Italy,Florence, Vatican City, Vatican City,1481, 1877,11.24626,43.77925, 12.4533, 41.90225
2140745,Italy,Florence, Italy, Naples,1481, 1804,11.24626,43.77925, 14.26811, 40.85216
2141554,Italy,Florence, United States, Princeton,1481, 1955,11.24626,43.77925, -74.65905, 40.34872
2141630,Italy,Florence, United States, Brunswick,1481, 1970,11.24626,43.77925, -69.96533, 43.91452
2140711,Italy,Florence, Italy, Florence,1481, 1850,11.24626,43.77925, 11.24626, 43.77925
2141037,Italy,Florence, Italy, Florence,1481, 1907,11.24626,43.77925, 11.24626, 43.77925
2126770,Italy,Florence, Italy, Ravenna,1481, 1905,11.24626,43.77925, 12.20121, 44.41344
2140741,Italy,Florence, Italy, Naples,1481, 1804,11.24626,43.77925, 14.26811, 40.85216
2141490,Italy,Florence, United States, Washington,1481, 1932,11.24626,43.77925, -77.03637, 38.89511
2141263,Italy,Florence, United States, Cambridge,1481, 1919,11.24626,43.77925, -71.10561, 42.3751
2141270,Italy,Florence, United States, Chicago,1481, 1890,11.24626,43.77925, -87.65005, 41.85003
2140994,Italy,Florence, Germany, Hamburg,1481, 1863,11.24626,43.77925, 9.99302, 53.55073
2141186,Italy,Florence, United Kingdom, Manchester,1481, 1892,11.24626,43.77925, -2.23743, 53.48095
2141489,Italy,Florence, United States, Washington,1481, 1943,11.24626,43.77925, -77.03637, 38.89511
2140943,Italy,Florence, Belgium, Liège,1481, 1817,11.24626,43.77925, 5.56749, 50.63373
2140632,Italy,Florence, France, Paris,1481, 1792,11.24626,43.77925, 2.3488, 48.85341
2141738,Italy,Florence, France, Paris,1481, 1838,11.24626,43.77925, 2.3488, 48.85341
2141737,Italy,Florence, France, Paris,1481, 1784,11.24626,43.77925, 2.3488, 48.85341
2141741,Italy,Florence,Italy,Florence,1481,1481,11.24626,43.77925,11.24626,43.77925
2001008,Italy,Florence, United Kingdom, London,1481, 1847,11.24626,43.77925, -0.12574, 51.50853
2141599,Italy,Florence, Germany, Berlin,1481, 1850,11.24626,43.77925, 13.41053, 52.52437
2141629,Italy,Florence, Germany, Berlin,1481, 1906,11.24626,43.77925, 13.41053, 52.52437
2141643,Italy,Florence, Switzerland, Cologny,1481, 1951,11.24626,43.77925, 6.18041, 46.21672
2140783,Italy,Florence, Italy, Siena,1481, 1758,11.24626,43.77925, 11.33064, 43.31822
2141600,Italy,Florence, Germany, Dresden,1481, 1853,11.24626,43.77925, 13.73832, 51.05089
2141601,Italy,Florence, Germany, Dresden,1481, 1481,11.24626,43.77925, 13.73832, 51.05089
2140795,Italy,Florence, Italy, Treviso,1481, 1810,11.24626,43.77925, 12.2416, 45.66673
2140630,Italy,Florence, France, Paris,1481, 1801,11.24626,43.77925, 2.3488, 48.85341
2141192,Italy,Florence, United States, Boston,1481, 1943,11.24626,43.77925, -71.05977, 42.35843
2140648,Italy,Florence, France, Paris,1481, 1717,11.24626,43.77925, 2.3488, 48.85341
2141739,Italy,Florence, France, Paris,1481, 1781,11.24626,43.77925, 2.3488, 48.85341
2141717,Italy,Florence, Austria, Vienna,1481, 1776,11.24626,43.77925, 16.37208, 48.20849
2141004,Italy,Florence, France, Besançon,1481, 1826,11.24626,43.77925, 6.01815, 47.24878
2144949,Italy,Florence, United States, New York,1481, 1922,11.24626,43.77925, -74.00597, 40.71427
2141557,Italy,Florence, United States, Middletown,1481, 1875,11.24626,43.77925, -72.65065, 41.56232
2144952,Italy,Florence, Italy, Milan,1481, 2007,11.24626,43.77925, 9.18951, 45.46427
2141558,Italy,Florence, United States, New Haven,1481, 1963,11.24626,43.77925, -72.92816, 41.30815
2141439,Italy,Florence, United States, Ithaca,1481, 1865,11.24626,43.77925, -76.49661, 42.44063
2141267,Italy,Florence, United States, Claremont,1481, 1927,11.24626,43.77925, -117.71978, 34.09668
2141440,Italy,Florence, United States, Bloomington,1481, 1960,11.24626,43.77925, -86.52639, 39.16533
2001009,Italy,Florence, United Kingdom, London,1481, 1842,11.24626,43.77925, -0.12574, 51.50853
2140856,Italy,Florence, United Kingdom, London,1481, 1757,11.24626,43.77925, -0.12574, 51.50853
2140784,Italy,Florence, Italy, Siena,1481, 1758,11.24626,43.77925, 11.33064, 43.31822
2142781,Italy,Florence, Russia, Moscow,1481, 1945,11.24626,43.77925, 37.61556, 55.75222
2141086,Italy,Florence, Italy, Novara,1481, 1896,11.24626,43.77925, 8.62118, 45.44694
2141148,Italy,Florence, United Kingdom, Chatsworth House,1481, 1844,11.24626,43.77925, -1.6, 53.21667
2141598,Italy,Florence, Germany, Munich,1481, 1481,11.24626,43.77925, 11.57549, 48.13743
2141603,Italy,Florence, Switzerland, Geneva,1481, 2013,11.24626,43.77925, 6.14569, 46.20222
2141143,Italy,Florence, United Kingdom, Cambridge,1481, 1863,11.24626,43.77925, 0.11667, 52.2
2140676,Italy,Florence, Germany, Stuttgart,1481, 1740,11.24626,43.77925, 9.1775, 48.77667
2142772,Italy,Florence, Brazil, Rio de Janeiro,1481, 1928,11.24626,43.77925, -43.18223, -22.90642
2001010,Italy,Florence, United Kingdom, London,1481, 1799,11.24626,43.77925, -0.12574, 51.50853
2142777,Italy,Florence, Russia, Moscow,1481, 1945,11.24626,43.77925, 37.61556, 55.75222
559810,Italy,Florence, United Kingdom, Cambridge,1481, 1910,11.24626,43.77925, 0.11667, 52.2
2140828,Italy,Florence, Russia, Moscow,1481, 1945,11.24626,43.77925, 37.61556, 55.75222
2140829,Italy,Florence, Russia, Moscow,1481, 1924,11.24626,43.77925, 37.61556, 55.75222
2141491,Italy,Florence, United States, Oakland,1481, 1948,11.24626,43.77925, -122.2708, 37.80437
2142782,Italy,Florence, United Kingdom, London,1481, 1845,11.24626,43.77925, -0.12574, 51.50853
2141147,Italy,Florence, United Kingdom, Cambridge,1481, 1645,11.24626,43.77925, 0.11667, 52.2
2140991,Italy,Florence, France, Tours,1481, 1972,11.24626,43.77925, 0.70398, 47.39484
2138497,Italy,Florence, Netherlands, Gemeente Den Haag,1481, 1824,11.24626,43.77925, 4.28635, 52.06866
2129250,Italy,Florence, United States, San Marino,1481, 1927,11.24626,43.77925, -118.10646, 34.1214
2141115,Italy,Florence, Poland, Wroclaw,1481, 1946,11.24626,43.77925, 17.03333, 51.1
