Id,AreaName,PlaceName,Lon,Lat,Start,End,LocType,StartType,EndType
02141268,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141268,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02141268,United States,New York,-74.00597,40.71427,1921,1936,accurate,accurate,accurate
02141268,United States,Williamstown,-73.20372,42.71202,1923,2021,accurate,accurate,accurate
02141017,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141017,Italy,NoInfo,12.83333,42.83333,1601,1800,approx,accurate,approx
02141017,Italy,Livorno,10.32615,43.54427,1711,1792,accurate,accurate,accurate
02141017,Italy,Florence,11.24626,43.77925,1792,1810,accurate,accurate,accurate
02141017,Italy,Florence,11.24626,43.77925,1810,2021,accurate,accurate,accurate
02141530,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141530,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02141530,Italy,Venice,12.33265,45.43713,1481,1806,accurate,NoInfo,accurate
02141530,Italy,Venice,12.33265,45.43713,1807,2021,accurate,accurate,accurate
02141555,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141555,Japan,NoInfo,139.75309,35.68536,1501,1600,approx,accurate,approx
02141555,United State,NoInfo,80.34975,26.46523,1850,1950,approx,approx,approx
02141555,United States,Urbana,-88.20727,40.11059,1965,2021,accurate,accurate,accurate
02140612,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140612,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140612,Belgium,Brussels,4.34878,50.85045,1481,2021,accurate,NoInfo,accurate
02140613,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140613,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140613,NoInfo,NoInfo,12.83333,42.83333,1501,1700,NoInfo,accurate,approx
02140613,Italy,Rome,12.51133,41.89193,1570,1630,accurate,accurate,accurate
02140613,United States,New Rochelle,-73.78235,40.91149,1920,1961,accurate,accurate,accurate
02140613,Belgium,Brussels,4.34878,50.85045,1963,2021,accurate,accurate,accurate
02141605,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141605,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02141605,Russia,St Petersburg,30.31413,59.93863,1795,2021,accurate,accurate,accurate
02141250,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141250,Italy,Florence,11.24626,43.77925,1512,1561,accurate,accurate,accurate
02141250,Italy,San Gimignano,11.02975,43.4738,1530,1530,accurate,accurate,accurate
02141250,United Kingdom,London,-0.12574,51.50853,1766,1827,accurate,accurate,accurate
02141250,Netherlands,Gemeente Amsterdam,4.89856,52.37302,1981,2001,accurate,accurate,accurate
02007303,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02007303,Italy,NoInfo,12.83333,42.83333,1481,1481,approx,NoInfo,NoInfo
02007303,Italy,NoInfo,12.83333,42.83333,1501,1481,approx,accurate,NoInfo
02007303,Italy,NoInfo,12.83333,42.83333,1501,1700,approx,accurate,approx
02007303,Italy,Milan,9.19199,45.46416,1801,1700,accurate,accurate,NoInfo
02007303,Italy,Milan,9.19199,45.46416,1801,1700,accurate,accurate,NoInfo
02007303,Italy,Milan,9.19199,45.46416,1901,1700,accurate,accurate,NoInfo
02007303,Italy,NoInfo,12.83333,42.83333,1901,2021,approx,NoInfo,accurate
02141203,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141203,United States,Providence,-71.41283,41.82399,1907,1948,accurate,accurate,accurate
02141203,United States,Providence,-71.41283,41.82399,1948,2021,accurate,accurate,accurate
02140668,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140668,Germany,Hamburg,9.99302,53.55073,1481,2021,accurate,NoInfo,accurate
