Id,lat1,lat2,lon1,lon2,time1,time2,stay,area1,area2,place1,place2
02141556,43.3085,41.7031,13.31036,-86.23917,1902,1902,0,Italy,United States,Treia,University of Notre Dame
02140623,43.77925,48.69096,11.24626,9.14062,1481,1481,0,Italy,NoInfo,Florence,Europe
02140623,48.69096,42.83333,9.14062,12.83333,1481,1659,178,NoInfo,Italy,Europe,NoInfo
02140623,42.83333,44.05507,12.83333,5.04813,1660,1683,23,Italy,France,NoInfo,Carpentras
02140623,44.05507,44.05507,5.04813,5.04813,1757,1757,0,France,France,Carpentras,Carpentras
02141180,43.77925,43.77925,11.24626,11.24626,1481,1801,320,Italy,NoInfo,Florence,NoInfo
02141180,43.77925,43.77925,11.24626,11.24626,2000,1850,-150,NoInfo,NoInfo,NoInfo,NoInfo
02141180,43.77925,54.75844,11.24626,-2.69531,1950,1896,-54,NoInfo,United Kingdom,NoInfo,NoInfo
02141180,54.75844,51.50853,-2.69531,-0.12574,1921,1921,0,United Kingdom,United Kingdom,NoInfo,London
02141614,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141614,42.83333,42.26259,12.83333,-71.80229,1600,1880,280,Italy,United States,NoInfo,Worcester
02141614,42.26259,42.25842,-71.80229,-72.57453,1929,1880,-49,United States,United States,Worcester,South Hadley
02141614,42.25842,42.25842,-72.57453,-72.57453,1974,1974,0,United States,United States,South Hadley,South Hadley
02141350,43.77925,54.75844,11.24626,-2.69531,1481,1701,220,Italy,United Kingdom,Florence,NoInfo
02141350,54.75844,51.85,-2.69531,-1.36667,1800,1717,-83,United Kingdom,United Kingdom,NoInfo,Blenheim Palace
02141350,51.85,52.2,-1.36667,0.11667,1804,1804,0,United Kingdom,United Kingdom,Blenheim Palace,Cambridge
02140616,43.77925,55.67594,11.24626,12.56553,1481,1703,222,Italy,Denmark,Florence,Copenhagen
02140616,55.67594,55.67594,12.56553,12.56553,1785,1792,7,Denmark,Denmark,Copenhagen,Copenhagen
02141622,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141622,42.83333,43.77925,12.83333,11.24626,1481,1897,416,Italy,Italy,NoInfo,Florence
02141622,43.77925,39.29038,11.24626,-76.61219,1910,1910,0,Italy,United States,Florence,Baltimore
02141622,39.29038,39.29038,-76.61219,-76.61219,1931,1931,0,United States,United States,Baltimore,Baltimore
02141620,43.77925,43.77925,11.24626,11.24626,1481,1897,416,Italy,Italy,Florence,Florence
02141620,43.77925,39.29038,11.24626,-76.61219,1910,1910,0,Italy,United States,Florence,Baltimore
02141620,39.29038,39.29038,-76.61219,-76.61219,1931,1931,0,United States,United States,Baltimore,Baltimore
02141625,43.77925,40.85216,11.24626,14.26811,1481,1736,255,Italy,Italy,Florence,Naples
02141627,43.77925,48.69096,11.24626,9.14062,1481,1481,0,Italy,NoInfo,Florence,Europe
02141627,48.69096,48.69096,9.14062,9.14062,1600,1601,1,NoInfo,NoInfo,Europe,NoInfo
02141627,48.69096,48.13743,9.14062,11.57549,1700,1880,180,NoInfo,Germany,NoInfo,Munich
02141627,48.13743,41.90268,11.57549,12.45414,1979,1979,0,Germany,Vatican City,Munich,NoInfo
02141433,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141433,42.83333,42.83333,12.83333,12.83333,1500,1481,-19,Italy,Italy,NoInfo,NoInfo
02141433,42.83333,42.83333,12.83333,12.83333,1600,1501,-99,Italy,NoInfo,NoInfo,NoInfo
02141433,42.83333,41.89193,12.83333,12.51133,1600,1501,-99,NoInfo,Italy,NoInfo,Rome
02141433,41.89193,41.90225,12.51133,12.4533,1923,1923,0,Italy,Vatican City,Rome,Vatican City
02141428,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141428,42.83333,41.90268,12.83333,12.45414,1600,1877,277,Italy,Vatican City,NoInfo,NoInfo
02141428,41.90268,41.90225,12.45414,12.4533,1921,1877,-44,Vatican City,Vatican City,NoInfo,Vatican City
02140745,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140745,42.83333,42.83333,12.83333,12.83333,1600,1801,201,Italy,NoInfo,NoInfo,NoInfo
02140745,42.83333,40.85216,12.83333,14.26811,1900,1804,-96,NoInfo,Italy,NoInfo,Naples
02141554,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,Italy
02141554,42.83333,43.77925,12.83333,11.24626,1500,1501,1,Italy,Italy,Italy,Florence
02141554,43.77925,52.86195,11.24626,-3.05497,1600,1806,206,Italy,United Kingdom,Florence,Oswestry
02141554,52.86195,40.34872,-3.05497,-74.65905,1843,1900,57,United Kingdom,United States,Oswestry,Princeton
02141554,40.34872,40.34872,-74.65905,-74.65905,1955,1955,0,United States,United States,Princeton,Princeton
02141630,43.77925,43.77925,11.24626,11.24626,1481,1501,20,Italy,NoInfo,Florence,NoInfo
02141630,43.77925,43.91452,11.24626,-69.96533,1600,1870,270,NoInfo,United States,NoInfo,Brunswick
02141630,43.91452,43.91452,-69.96533,-69.96533,1915,1970,55,United States,United States,Brunswick,Brunswick
02140711,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140711,42.83333,43.77925,12.83333,11.24626,1600,1826,226,Italy,Italy,NoInfo,Florence
02140711,43.77925,43.77925,11.24626,11.24626,1834,1850,16,Italy,Italy,Florence,Florence
02141037,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141037,42.83333,43.77925,12.83333,11.24626,1500,1849,349,Italy,Italy,NoInfo,Florence
02141037,43.77925,43.77925,11.24626,11.24626,1874,1874,0,Italy,Italy,Florence,Florence
02141037,43.77925,43.77925,11.24626,11.24626,1905,1907,2,Italy,Italy,Florence,Florence
02126770,43.77925,43.77925,11.24626,11.24626,1481,1481,0,Italy,NoInfo,Florence,NoInfo
02126770,43.77925,43.77925,11.24626,11.24626,1500,1481,-19,NoInfo,NoInfo,NoInfo,NoInfo
02126770,43.77925,43.77925,11.24626,11.24626,1500,1481,-19,NoInfo,NoInfo,NoInfo,NoInfo
02126770,43.77925,43.77925,11.24626,11.24626,1500,1500,0,NoInfo,NoInfo,NoInfo,NoInfo
02126770,43.77925,51.50853,11.24626,-0.12574,1560,1791,231,NoInfo,United Kingdom,NoInfo,London
02126770,51.50853,52.07689,-0.12574,-1.24167,1791,1791,0,United Kingdom,United Kingdom,London,Thenford
02126770,52.07689,51.50853,-1.24167,-0.12574,1816,1816,0,United Kingdom,United Kingdom,Thenford,London
02126770,51.50853,52.07689,-0.12574,-1.24167,1824,1824,0,United Kingdom,United Kingdom,London,Thenford
02126770,52.07689,52.07689,-1.24167,-1.24167,1846,1846,0,United Kingdom,United Kingdom,Thenford,Thenford
02126770,52.07689,40.71427,-1.24167,-74.00597,1886,1886,0,United Kingdom,United States,Thenford,New York
02126770,40.71427,42.83333,-74.00597,12.83333,1886,1886,0,United States,Italy,New York,NoInfo
02126770,42.83333,42.83333,12.83333,12.83333,1904,1904,0,Italy,Italy,NoInfo,NoInfo
02126770,42.83333,44.41344,12.83333,12.20121,1905,1905,0,Italy,Italy,NoInfo,Ravenna
02140741,43.77925,43.77925,11.24626,11.24626,1481,1562,81,Italy,Italy,Florence,Florence
02140741,43.77925,43.77925,11.24626,11.24626,1562,1701,139,Italy,NoInfo,Florence,NoInfo
02140741,43.77925,40.85216,11.24626,14.26811,1800,1804,4,NoInfo,Italy,NoInfo,Naples
02141490,43.77925,43.77925,11.24626,11.24626,1481,1501,20,Italy,NoInfo,Florence,NoInfo
02141490,43.77925,43.77925,11.24626,11.24626,1600,1501,-99,NoInfo,NoInfo,NoInfo,NoInfo
02141490,43.77925,41.90268,11.24626,12.45414,1600,1501,-99,NoInfo,Vatican City,NoInfo,NoInfo
02141490,41.90268,38.89511,12.45414,-77.03637,1930,1932,2,Vatican City,United States,NoInfo,Washington
02141263,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141263,42.83333,51.50853,12.83333,-0.12574,1700,1810,110,Italy,United Kingdom,NoInfo,London
02141263,51.50853,54.75844,-0.12574,-2.69531,1843,1845,2,United Kingdom,United Kingdom,London,NoInfo
02141263,54.75844,54.75844,-2.69531,-2.69531,1845,1845,0,United Kingdom,United Kingdom,NoInfo,NoInfo
02141263,54.75844,51.50853,-2.69531,-0.12574,1868,1868,0,United Kingdom,United Kingdom,NoInfo,London
02141263,51.50853,42.35843,-0.12574,-71.05977,1875,1875,0,United Kingdom,United States,London,Boston
02141263,42.35843,42.3751,-71.05977,-71.10561,1919,1919,0,United States,United States,Boston,Cambridge
02141270,43.77925,43.77925,11.24626,11.24626,1481,1701,220,Italy,NoInfo,Florence,NoInfo
02141270,43.77925,39.12711,11.24626,-84.51439,1800,1820,20,NoInfo,United States,NoInfo,Cincinnati
02141270,39.12711,41.85003,-84.51439,-87.65005,1890,1890,0,United States,United States,Cincinnati,Chicago
02140994,43.77925,48.85341,11.24626,2.3488,1481,1731,250,Italy,France,Florence,Paris
02140994,48.85341,53.55073,2.3488,9.99302,1788,1731,-57,France,Germany,Paris,Hamburg
02140994,53.55073,53.55073,9.99302,9.99302,1863,1863,0,Germany,Germany,Hamburg,Hamburg
02141186,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141186,42.83333,43.77925,12.83333,11.24626,1500,1481,-19,Italy,Italy,NoInfo,Florence
02141186,43.77925,42.83333,11.24626,12.83333,1500,1501,1,Italy,Italy,Florence,NoInfo
02141186,42.83333,52.28107,12.83333,-1.00095,1600,1807,207,Italy,United Kingdom,NoInfo,Althorp
02141186,52.28107,52.28107,-1.00095,-1.00095,1834,1835,1,United Kingdom,NoInfo,Althorp,
02141186,52.28107,53.48095,-1.00095,-2.23743,1892,1892,0,NoInfo,United Kingdom,,Manchester
02141186,53.48095,53.48095,-2.23743,-2.23743,1892,1892,0,United Kingdom,United Kingdom,Manchester,Manchester
02141489,43.77925,51.50853,11.24626,-0.12574,1481,1860,379,Italy,United Kingdom,Florence,London
02141489,51.50853,40.71427,-0.12574,-74.00597,1927,1860,-67,United Kingdom,United States,London,New York
02141489,40.71427,40.09594,-74.00597,-75.12517,1935,1935,0,United States,United States,New York,Jenkintown
02141489,40.09594,38.89511,-75.12517,-77.03637,1943,1943,0,United States,United States,Jenkintown,Washington
02140943,43.77925,50.63373,11.24626,5.56749,1481,1817,336,Italy,Belgium,Florence,Liège
02140632,43.77925,42.83333,11.24626,12.83333,1481,1500,19,Italy,Italy,Florence,NoInfo
02140632,42.83333,41.89193,12.83333,12.51133,1481,1733,252,Italy,Italy,NoInfo,Rome
02140632,41.89193,48.85341,12.51133,2.3488,1783,1788,5,Italy,France,Rome,Paris
02140632,48.85341,48.85341,2.3488,2.3488,1792,1792,0,France,France,Paris,Paris
