group,variable,value
16.0,2140770,2
16.0,2140771,3
16.0,2140776,1
16.0,2140781,1
16.0,2140783,1
16.0,2140784,0
16.0,2140795,1
16.0,2140828,0
16.0,2140829,0
16.0,2140849,1
16.0,2140855,2
16.0,2140856,1
16.0,2140943,0
16.0,2140961,0
16.0,2140985,1
16.0,2140988,0
16.0,2140991,1
16.0,2140994,0
16.0,2141004,0
16.0,2141016,3
16.0,2141017,0
16.0,2141029,1
16.0,2141034,1
16.0,2141035,2
16.0,2141037,0
16.0,2141048,1
16.0,2141082,1
16.0,2141086,2
16.0,2141097,2
16.0,2141098,1
16.0,2141099,1
16.0,2141102,1
16.0,2141108,0
16.0,2141109,1
16.0,2141110,2
16.0,2141115,0
16.0,2141122,2
16.0,2141143,0
16.0,2141147,0
16.0,2141148,1
16.0,2141160,0
16.0,2141168,1
16.0,2141180,0
16.0,2141186,1
16.0,2141191,0
16.0,2141192,1
16.0,2141203,0
16.0,2141204,2
16.0,2141227,0
16.0,2141240,1
16.0,2141250,2
16.0,2141251,1
16.0,2141263,1
16.0,2141267,0
16.0,2141268,1
16.0,2141270,0
16.0,2141271,1
16.0,2141280,1
16.0,2141338,2
16.0,2141340,0
16.0,2141350,0
16.0,2141376,0
16.0,2141400,0
16.0,2141406,1
16.0,2141427,0
16.0,2141428,1
16.0,2141433,2
16.0,2141434,1
16.0,2141439,0
16.0,2141440,0
16.0,2141444,3
16.0,2141456,2
16.0,2141466,0
16.0,2141489,0
16.0,2141490,1
16.0,2141491,0
16.0,2141492,0
16.0,2141529,0
16.0,2141530,0
16.0,2141553,1
16.0,2141554,1
16.0,2141555,1
16.0,2141556,0
16.0,2141557,0
16.0,2141558,0
16.0,2141568,2
16.0,2141588,1
16.0,2141596,0
16.0,2141598,0
16.0,2141599,1
16.0,2141600,0
16.0,2141601,0
16.0,2141603,1
16.0,2141605,1
16.0,2141614,1
16.0,2141620,0
16.0,2141622,0
16.0,2141625,0
16.0,2141627,1
16.0,2141629,1
16.0,2141630,1
16.0,2141643,0
16.0,2141717,0
16.0,2141737,0
16.0,2141738,0
16.0,2141739,0
16.0,2141741,0
16.0,2142772,1
16.0,2142777,0
16.0,2142781,0
16.0,2142782,0
16.0,2144949,1
16.0,2144952,0
16.0,2145052,2
16.5,201623,1
16.5,559810,1
16.5,2001008,0
16.5,2001009,0
16.5,2001010,0
16.5,2001011,0
16.5,2007303,1
16.5,2011395,1
16.5,2011876,0
16.5,2013774,3
16.5,2013814,0
16.5,2013851,1
16.5,2016450,1
16.5,2019494,1
16.5,2117472,1
16.5,2126770,1
16.5,2128758,0
16.5,2129250,0
16.5,2130036,0
16.5,2138497,1
16.5,2140612,1
16.5,2140613,3
16.5,2140616,0
16.5,2140623,0
16.5,2140630,0
16.5,2140632,0
16.5,2140633,1
16.5,2140634,1
16.5,2140635,0
