group,variable,value,detail
Latrobe,New York,1,2013774
Leipzig,Moscow,1,2140828
Livorno,Florence,1,2141017
Livorno,Livorno,1,2141048
London,Althorp,1,2141553
London,Athens,2,"2013851,2013774"
London,Boston,1,2141263
London,Cambridge,1,2141147
London,Charlottesville,1,2141280
London,Crowan,1,2141143
London,Dunecht,1,2013814
London,Fosbury,1,2129250
London,Gemeente Amsterdam,1,2141250
London,Latrobe,1,2013774
London,London,16,"2013814,2013814,2141160,2141160,2001008,2140856,2141143,2141143,2001010,2142782,2129250,2013774,2013774,2141553,2141553,2001011"
London,Naples,1,2141553
London,New York,1,2141489
London,Newport,1,2145052
London,NoInfo,2,"2141263,559810"
London,Oakland,1,2141491
London,San Marino,1,2129250
London,Sonning,1,2141557
London,Stowe,1,2141553
London,Thenford,2,"2126770,2126770"
London,Woodstock,1,2141400
Ludwigsburg,Stuttgart,1,2140676
Lviv,Lviv,1,2141115
Lviv,Wroclaw,1,2141115
Maldon,London,1,2013851
Manchester,Manchester,1,2141186
Marseille,Paris,2,"2141739,2140988"
Merthyr Mawr,England,1,201623
Milan,Amsterdam,1,2140725
Milan,Europe,1,2141280
Milan,Los Angeles,1,2141271
Milan,Milan,2,"2007303,2007303"
Milan,NoInfo,2,"2007303,2141596"
Modena,Modena,2,"2140739,2140738"
Moscow,Moscow,1,2140829
Munich,NoInfo,1,2141627
Munich,Novara,1,2141086
Mönchengladbach,Cologne,1,2141596
Nancy,Ludwigsburg,1,2140676
Naples,Althorp,1,2141492
Naples,Naples,1,2140750
Naples,NoInfo,1,2140991
Naples,Skirling,1,2141553
Narford,London,1,2145052
New Rochelle,Brussels,1,2140613
New York,Jenkintown,1,2141489
New York,London,1,2013774
New York,New York,7,"2144949,2128758,2141492,2145052,2145052,2141553,2141400"
New York,NoInfo,1,2126770
New York,Paris,1,2141400
New York,Schweinfurt,1,2145052
New York,Wellesley,1,2128758
New York,Williamstown,1,2141268
Newport,New York,1,2145052
NoInfo,Althorp,2,"2141160,2141186"
NoInfo,Arezzo,1,2140685
NoInfo,Augsburg,1,2140726
NoInfo,Barga,1,2141048
NoInfo,Berlin,2,"2141599,2141629"
NoInfo,Bibbiena,1,2141016
NoInfo,Blenheim Palace,1,2141350
NoInfo,Bologna,2,"2140687,2140686"
NoInfo,Brunswick,1,2141630
NoInfo,Brussels,2,"2141406,2140612"
NoInfo,Cambridge,2,"559810,2141251"
NoInfo,Cambrils,1,2140849
NoInfo,Capaccio,1,2140643
NoInfo,Carpentras,1,2140623
NoInfo,Chiusa di Pesio,1,2141491
NoInfo,Cincinnati,1,2141270
NoInfo,Cologny,1,2141643
NoInfo,Dresden,3,"2140828,2141588,2141122"
NoInfo,Edensor,1,2141148
NoInfo,Euston,1,2013814
NoInfo,Florence,21,"2140781,2140633,2140771,2141568,2141622,2140711,2141037,2141186,2140784,2140676,2142772,2016450,2141099,2145052,2141029,2140704,2140700,2141082,2140709,2140855,2140702"
