Id,NumOfPro,Loc,Time,Today,Error
02141603,5,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [31.152127550000003, 112.87827755536885], [None, None], [45.07049, 7.68682], [46.20222, 6.14569]]","[[1481, 1481], [1481, 1600], [1701, 1800], [1950, 1980], [None, 2013], [2013, 2021]]",True,
00201623,5,"[[43.77925, 11.24626], [42.83333, 12.83333], [45.43713, 12.33265], [52.16045, -0.70312], [42.35843, -71.05977], [42.3751, -71.10561]]","[[1481, 1481], [1481, 1600], [1735, 1789], [1870, 1936], [1936, 1951], [1951, 2021]]",True,
02141097,9,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [43.70853, 10.4036], [45.15533665, 10.90486405], [None, None], [50.11552, 8.68417], [None, None], [45.64953, 13.77678], [41.89193, 12.51133]]","[[1481, 1481], [1481, 1500], [1481, 1600], [1481, 1550], [1601, 1700], [1750, 1800], [1812, 1812], [None, 1898], [1898, 1920], [1918, 2021]]",True,
02140676,12,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [43.77925, 11.24626], [43.77925, 11.24626], [43.77925, 11.24626], [43.77925, 11.24626], [48.68439, 6.18496], [48.89731, 9.19161], [48.77667, 9.1775]]","[[1481, 1481], [1481, 1600], [1481, 1600], [1501, 1600], [1501, 1600], [1501, 1600], [1510, 1537], [1540, 1599], [1593, 1647], [1620, 1620], [1740, 1799], [None, None], [None, 2021]]",True,
02001011,3,"[[43.77925, 11.24626], [45.4389, 12.33092], [51.50853, -0.12574], [51.50853, -0.12574]]","[[1481, 1481], [1701, 1761], [1761, 1820], [1821, 2021]]",True,
02142772,6,"[[43.77925, 11.24626], [None, None], [45.15533665, 10.90486405], [43.77925, 11.24626], [31.152127550000003, 112.87827755536885], [-22.90642, -43.18223], [-22.90642, -43.18223]]","[[1481, 1481], [1501, 1600], [1668, 1668], [1701, 1800], [1701, 1800], [1849, 1923], [1928, 2021]]",True,
02001010,3,"[[43.77925, 11.24626], [52.1994445, 0.1220898930123415], [51.50853, -0.12574], [51.50853, -0.12574]]","[[1481, 1481], [1700, 1800], [1790, 1799], [1799, 2021]]",True,
02142777,2,"[[43.77925, 11.24626], [51.05089, 13.73832], [55.75222, 37.61556]]","[[1481, 1481], [1556, 1945], [1945, 2021]]",True,
00559810,5,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [51.48165, -0.28749], [51.50853, -0.12574], [52.1994445, 0.1220898930123415], [52.2, 0.11667]]","[[1481, 1481], [1481, 1700], [1728, 1805], [1805, 1835], [1844, 1910], [1910, 2021]]",True,
02140828,4,"[[43.77925, 11.24626], [None, None], [51.05089, 13.73832], [51.33962, 12.37129], [55.75222, 37.61556]]","[[1481, 1481], [None, None], [1819, 1886], [1886, 1945], [1945, 2021]]",True,
